m	199	444	150	150	0	0	1800s	100	1	8006
m	706	220	150	150	0	0	1800s	100	1	8006
m	238	719	150	150	0	0	1700s	100	1	8007
m	548	155	100	100	0	0	1850s	100	1	8006
m	767	199	150	150	0	0	1750s	100	1	8007
m	489	813	150	150	0	0	1650s	100	1	8007

m	548	155	100	100	0	0	1800s	100	1	8005
m	767	199	150	150	0	0	1650s	100	1	8005
m	489	813	150	150	0	0	1800s	100	1	8005


r	502	209	100	100	0	0	3575s	100	1	2002
r	482	210	100	100	0	0	3580s	100	1	2002
r	590	239	100	100	0	0	3585s	100	1	2002
r	876	319	100	100	0	0	3590s	100	1	2002
r	330	584	100	100	0	0	3595s	100	1	2002
r	309	599	100	100	0	0	3600s	100	1	2002
r	348	623	100	100	0	0	3605s	100	1	2002
r	387	657	100	100	0	0	3610s	100	1	2002
r	770	686	100	100	0	0	3615s	100	1	2002
r	519	695	100	100	0	0	3620s	100	1	2002
r	543	724	100	100	0	0	3625s	100	1	2002
r	688	826	100	100	0	0	3630s	100	1	2002
r	276	827	100	100	0	0	3635s	100	1	2002
r	824	846	100	100	0	0	3640s	100	1	2002
r	536	861	100	100	0	0	3645s	100	1	2002

